report_id,user_id,flag,offender_id,description
1,1,spam,2,"User sent spam messages"
2,2,abuse,3,"User used abusive language"
3,3,scam,4,"User attempted to scam"
4,4,harassment,5,"User harassed another user"
5,5,bullying,6,"User bullied another user"
6,6,spam,7,"User sent spam messages"
7,7,abuse,8,"User used abusive language"
8,8,scam,9,"User attempted to scam"
9,9,harassment,10,"User harassed another user"
10,10,bullying,11,"User bullied another user"
11,11,spam,12,"User sent spam messages"
12,12,abuse,13,"User used abusive language"
13,13,scam,14,"User attempted to scam"
14,14,harassment,15,"User harassed another user"
15,15,bullying,16,"User bullied another user"
16,16,spam,17,"User sent spam messages"
17,17,abuse,18,"User used abusive language"
18,18,scam,19,"User attempted to scam"
19,19,harassment,20,"User harassed another user"
20,20,bullying,21,"User bullied another user"
21,21,spam,22,"User sent spam messages"
22,22,abuse,23,"User used abusive language"
23,23,scam,24,"User attempted to scam"
24,24,harassment,25,"User harassed another user"
25,25,bullying,26,"User bullied another user"
26,26,spam,27,"User sent spam messages"
27,27,abuse,28,"User used abusive language"
28,28,scam,29,"User attempted to scam"
29,29,harassment,30,"User harassed another user"
30,30,bullying,31,"User bullied another user"
31,31,spam,32,"User sent spam messages"
32,32,abuse,33,"User used abusive language"
33,33,scam,34,"User attempted to scam"
34,34,harassment,35,"User harassed another user"
35,35,bullying,36,"User bullied another user"
36,36,spam,37,"User sent spam messages"
37,37,abuse,38,"User used abusive language"
38,38,scam,39,"User attempted to scam"
39,39,harassment,40,"User harassed another user"
40,40,bullying,41,"User bullied another user"
41,41,spam,42,"User sent spam messages"
42,42,abuse,43,"User used abusive language"
43,43,scam,44,"User attempted to scam"
44,44,harassment,45,"User harassed another user"
45,45,bullying,46,"User bullied another user"
46,46,spam,47,"User sent spam messages"
47,47,abuse,48,"User used abusive language"
48,48,scam,49,"User attempted to scam"
49,49,harassment,50,"User harassed another user"
50,50,bullying,51,"User bullied another user"
51,51,spam,52,"User sent spam messages"
52,52,abuse,53,"User used abusive language"
53,53,scam,54,"User attempted to scam"
54,54,harassment,55,"User harassed another user"
55,55,bullying,1,"User bullied another user"